id,low,high,open,close,amount,quantity,buytakeramount,buytakerquantity,tradecount,ts,weightedaverage,interval_type,starttime,closetime,dt_create_utc,ts_create_utc,ts_insert_utc,year,month,day,hour
BTC_USDT,45181.53,45181.59,45181.54,45181.58,37126.44,0.821717,18554.7,0.41067,35,0,45181.54,MINUTE_1,1704171360,1704171419,2024-01-02,2024-01-02 04:56:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45165.19,45181.56,45181.54,45165.73,72552.29,1.606233,36595.54,0.810204,80,0,45169.21,MINUTE_1,1704171420,1704171479,2024-01-02,2024-01-02 04:57:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45144.88,45181.57,45165.6,45167.64,96672.51,2.140528,45794.47,1.014026,78,0,45162.92,MINUTE_1,1704171480,1704171539,2024-01-02,2024-01-02 04:58:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45162.04,45178.75,45168.26,45170.44,66520.2,1.472583,28887.33,0.639489,50,0,45172.46,MINUTE_1,1704171540,1704171599,2024-01-02,2024-01-02 04:59:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45148.18,45181.58,45158.7,45158.15,97302.63,2.154427,52941.96,1.172185,84,0,45164.04,MINUTE_1,1704171600,1704171659,2024-01-02,2024-01-02 05:00:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45133.26,45165.46,45149.54,45149.13,88412.44,1.958228,41147.95,0.911363,71,0,45149.2,MINUTE_1,1704171660,1704171719,2024-01-02,2024-01-02 05:01:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45141.68,45165.09,45149.11,45149.82,92048.74,2.038614,46694.63,1.034172,71,0,45152.61,MINUTE_1,1704171720,1704171779,2024-01-02,2024-01-02 05:02:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45146.8,45158.2,45146.8,45155.64,94985.92,2.103652,41286.54,0.914402,67,0,45152.86,MINUTE_1,1704171780,1704171839,2024-01-02,2024-01-02 05:03:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45131.16,45158.31,45154.91,45137.2,93977.81,2.081601,41620.11,0.921889,75,0,45146.89,MINUTE_1,1704171840,1704171899,2024-01-02,2024-01-02 05:04:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45131.16,45149.58,45133.78,45141.53,87624.3,1.941167,42098.98,0.932636,65,0,45140.01,MINUTE_1,1704171900,1704171959,2024-01-02,2024-01-02 05:05:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45140.04,45164.53,45140.04,45164.53,90140.93,1.996259,55069.78,1.219592,72,0,45154.93,MINUTE_1,1704171960,1704172019,2024-01-02,2024-01-02 05:06:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45165.02,45181.59,45165.02,45181.59,56805.69,1.25741,29784.47,0.659296,41,0,45176.74,MINUTE_1,1704172020,1704172079,2024-01-02,2024-01-02 05:07:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45181.58,45210.26,45181.58,45208.45,51651.36,1.142687,29018.41,0.641996,41,0,45201.67,MINUTE_1,1704172080,1704172139,2024-01-02,2024-01-02 05:08:59.999,2024-01-09 01:44:20.000,2024,1,2,5
