id,low,high,open,close,volume,dt
LTC_USDT,71.158,73.698,71.949,73.594,15653825,2024-01-01
BCH_USDT,255.64,269.28,259.43,266.74,18705948,2024-01-01
ADA_USDT,0.58189,0.61482,0.58585,0.61226,17667910,2024-01-01
ETH_USDT,2265.68,2349.42,2282.4,2348.89,74391928,2024-01-01
SHIB_USDT,0.000009909,0.000010441,0.00000991,0.000010271,7681631.5,2024-01-01
BTC_USDT,42198.56,44000.64,42273.26,43999.21,153383120,2024-01-01
MKR_USDT,1637.87,1768.33,1693.54,1642.41,2723472.5,2024-01-01
XRP_USDT,0.5855,0.605,0.5911,0.6002,18516940,2024-01-01
ETH_USDT,2344.79,2426.22,2348.81,2354.99,65471536,2024-01-02
DOGE_USDT,0.08675,0.089331,0.087193,0.089237,8590038,2024-01-02
TRX_USDT,0.10729,0.11045,0.10761,0.10839,13379919,2024-01-02
MKR_USDT,1612.01,1896.74,1642.13,1823.85,1954802.8,2024-01-02
LTC_USDT,71.827,74.16,73.597,72.3,11539971,2024-01-02
XRP_USDT,0.58,0.6099,0.6,0.6073,14271067,2024-01-02
ADA_USDT,0.58403,0.62087,0.61232,0.59689,15064700,2024-01-02
BTC_USDT,44000.63,45640.62,44000.64,44958.52,131493160,2024-01-02
BNB_USDT,306.74,321.34,313.56,312.04,7434791.5,2024-01-02
SHIB_USDT,0.000009871,0.00001045,0.000010237,0.000010159,10413450,2024-01-02
BCH_USDT,254.66,269.71,266.79,257.05,14838634,2024-01-02
